dataset,role,task,seed,fold,metric,angle_deg,value,result_path
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,120,0.5840657782818259,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,135,0.5701729515168699,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,150,0.5455060958321519,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,165,0.5304791607598526,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,180,0.5486248936773462,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,195,0.5378508647575844,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,210,0.5735752764388999,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,225,0.5798128721292883,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,240,0.6075985256592005,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,255,0.6044797278140063,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,270,0.6322653813439183,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,285,0.6229089878083357,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,300,0.6552310745676212,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,315,0.6671392117947264,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,330,0.6980436631698327,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,345,0.7014459880918628,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,1337,0,min,,0.5398355542954352,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,max,,0.7227105188545506,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,mean,,0.6256143086664777,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,std,,0.056707481483876075,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,acc@0,,0.7227105188545506,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
